Status,Status (Successful),Qty,Amount,ship-city,ship-state,ship-postal-code
Delivered,True,1,488.0,BENGALURU,KARNATAKA,560076.0
Delivered,True,1,888.0,AHEMDABAD,GUJARAT,380058.0
Delivered,True,1,725.0,THODUPUZHA,KERALA,685595.0
Delivered,True,1,363.0,THIRUVIDAIMARUDUR,TAMIL NADU,612104.0
Delivered,True,1,1186.0,LEH,JAMMU & KASHMIR,194101.0
Delivered,True,1,1126.0,BENGALURU,KARNATAKA,560046.0
Delivered,True,1,413.0,PUDUPAKKAM,TAMIL NADU,603103.0
Delivered,True,1,725.0,MUZAFFARPUR,BIHAR,842002.0
Delivered,True,1,566.0,"COLACHAL, KANYA KUMARI DISTRICT",TAMIL NADU,629251.0
Delivered,True,1,413.0,ANJUNA BARDEZ GO,GOA,403509.0
Delivered,True,1,259.0,CHENNAI,TAMIL NADU,600092.0
Delivered,True,1,329.0,BARUIPUR,WEST BENGAL,700144.0
Delivered,True,1,1149.0,AGARTALA,TRIPURA,799010.0
Delivered,True,1,413.0,HYDERABAD,HYDERABAD,500062.0
Delivered,True,1,899.0,HYDERABAD,HYDERABAD,500084.0
Delivered,True,1,859.0,HYDERABAD,HYDERABAD,500084.0
Delivered,True,1,771.0,BENGALURU,KARNATAKA,560024.0
Delivered,True,1,545.0,JABALPUR,MADHYA PRADESH,482003.0
Delivered,True,1,1338.0,PANCHKULA,HARYANA,134114.0
Delivered,True,1,816.0,GURUGRAM,HARYANA,122002.0
Delivered,True,1,969.0,SRUNGAVARAPUKOTA,ANDHRA PRADESH,535145.0
Delivered,True,1,725.0,MANGALURU,KARNATAKA,575003.0
Delivered,True,1,399.0,BIDHAN NAGAR,WEST BENGAL,700064.0
Delivered,True,1,859.0,AHMEDABAD,GUJARAT,380060.0
Delivered,True,1,744.0,SADASIVPET,HYDERABAD,502291.0
Delivered,True,1,1299.0,KOTTAYAM,KERALA,686536.0
Delivered,True,1,499.0,INDORE,MADHYA PRADESH,452001.0
Delivered,True,1,259.0,KANCHEEPURAM,TAMIL NADU,631501.0
Delivered,True,1,295.0,SONIPAT,HARYANA,131001.0
Delivered,True,1,666.0,BENGALURU,KARNATAKA,560086.0
Delivered,True,1,458.0,KANPUR,UTTAR PRADESH,208001.0
Delivered,True,1,626.0,NEW DELHI,DELHI,110062.0
Delivered,True,1,459.0,JAIPUR,RAJASTHAN,302019.0
Delivered,True,1,511.0,AVANIGADDA,ANDHRA PRADESH,521121.0
Delivered,True,1,631.0,NOIDA,UTTAR PRADESH,201301.0
Delivered,True,1,612.0,NOIDA,UTTAR PRADESH,201301.0
Delivered,True,1,413.0,NAVSARI,GUJARAT,396445.0
Delivered,True,1,759.0,KARANJA LAD,MAHARASHTRA,444105.0
Delivered,True,1,690.0,HYDERABAD,HYDERABAD,500008.0
Delivered,True,1,443.0,AHMEDABAD,GUJARAT,380015.0
Delivered,True,1,939.0,HAZARIBAGH,JHARKHAND,825301.0
Delivered,True,1,471.0,CUTTACK,ODISHA,753009.0
Delivered,True,1,368.0,BENGALURU,KARNATAKA,560049.0
Delivered,True,1,477.0,BENGALURU,KARNATAKA,560049.0
Delivered,True,1,499.0,PUTTUR,KARNATAKA,574203.0
Delivered,True,1,690.0,"KANDIVALI (E), MUMBAI",MAHARASHTRA,400101.0
Delivered,True,1,1281.0,THANE,MAHARASHTRA,400604.0
Delivered,True,1,637.0,HYDERABAD,HYDERABAD,500024.0
Delivered,True,1,517.0,BENGALURU,KARNATAKA,562125.0
Delivered,True,1,0.0,JAIPUR,RAJASTHAN,302020.0
Delivered,True,1,548.0,HOOVINA HADAGALLI,KARNATAKA,583219.0
Delivered,True,1,368.0,HALDIA,WEST BENGAL,721607.0
Delivered,True,1,474.0,NAVI MUMBAI,MAHARASHTRA,410210.0
Delivered,True,1,459.0,NEW DELHI,DELHI,110018.0
Delivered,True,1,817.0,BHUBANESWAR,ODISHA,751002.0
Delivered,True,1,342.0,NELLORE,ANDHRA PRADESH,524001.0
Delivered,True,1,499.0,JABALPUR,MADHYA PRADESH,482001.0
Delivered,True,1,399.0,BHUBANESWAR,ODISHA,751003.0
Delivered,True,1,588.0,BENGALURU,KARNATAKA,560040.0
Delivered,True,1,1099.0,MUMBAI,MAHARASHTRA,400028.0
Delivered,True,1,771.0,SIBSAGAR,ASSAM,785640.0
Delivered,True,1,299.0,NAVI MUMBAI,MAHARASHTRA,400701.0
Delivered,True,1,916.0,KOLKATA,WEST BENGAL,700041.0
Delivered,True,1,1369.0,HYDERABAD,HYDERABAD,500018.0
Delivered,True,1,399.0,KATIHAR,BIHAR,854105.0
Delivered,True,1,459.0,NELLORE,ANDHRA PRADESH,524003.0
Delivered,True,1,540.0,COIMBATORE,TAMIL NADU,641004.0
Delivered,True,1,353.0,THIRUVANANTHAPURAM,KERALA,695582.0
Delivered,True,1,636.0,MUMBAI,MAHARASHTRA,400078.0
Delivered,True,1,286.0,CHENNAI,TAMIL NADU,600078.0
Delivered,True,1,399.0,CHENNAI,TAMIL NADU,600078.0
Delivered,True,1,353.0,CHENNAI,TAMIL NADU,600078.0
Delivered,True,1,852.0,NAVI MUMBAI,MAHARASHTRA,410209.0
Delivered,True,1,631.0,AMBALA,HARYANA,133203.0
Delivered,True,1,518.0,PIMPRI CHINCHWAD,MAHARASHTRA,411044.0
Delivered,True,1,316.0,MUMBAI,MAHARASHTRA,400075.0
Delivered,True,1,856.0,PUNE,MAHARASHTRA,411028.0
Delivered,True,1,359.0,NEW DELHI,DELHI,110022.0
Delivered,True,1,1249.0,UDAIPUR,RAJASTHAN,313001.0
Delivered,True,1,0.0,SURAT,GUJARAT,395007.0
Delivered,True,1,342.0,BENGALURU,KARNATAKA,560016.0
Delivered,True,1,0.0,CHENNAI,TAMIL NADU,600010.0
Delivered,True,1,474.0,THANE,MAHARASHTRA,400612.0
Delivered,True,1,635.0,BENGALURU,KARNATAKA,560043.0
Delivered,True,1,487.0,BENGALURU,KARNATAKA,560043.0
Delivered,True,1,362.0,THANE,MAHARASHTRA,400610.0
Delivered,True,1,885.0,VADODARA,GUJARAT,390022.0
Delivered,True,1,696.0,GUDIYATHAM,TAMIL NADU,632602.0
Delivered,True,1,476.0,RANCHI,JHARKHAND,834001.0
Delivered,True,1,259.0,RUDRAPUR,UTTARAKHAND,263145.0
Delivered,True,1,316.0,ANAKAPALLE,ANDHRA PRADESH,531031.0
Delivered,True,1,999.0,MUMBAI,MAHARASHTRA,400088.0
Delivered,True,1,586.0,SURAT,GUJARAT,395002.0
Delivered,True,1,458.0,RAJKOT,GUJARAT,360004.0
Delivered,True,1,690.0,NEW DELHI,DELHI,110022.0
Delivered,True,1,725.0,PATHANAMTHITTA,KERALA,689546.0
Delivered,True,1,295.0,PORT BLAIR,ANDAMAN,744102.0
Delivered,True,1,899.0,MUMBAI,MAHARASHTRA,400101.0
Delivered,True,1,631.0,GHAZIABAD,UTTAR PRADESH,201005.0
Delivered,True,1,0.0,SHIMLA,HIMACHAL PRADESH,171005.0
Delivered,True,1,316.0,MEERUT,UTTAR PRADESH,250004.0
Delivered,True,1,0.0,GHAZIABAD,UTTAR PRADESH,201014.0
Delivered,True,1,459.0,PALACOLE,ANDHRA PRADESH,534250.0
Delivered,True,1,654.0,JAMSHEDPUR,JHARKHAND,831012.0
Delivered,True,1,495.0,NAVI MUMBAI,MAHARASHTRA,410206.0
Delivered,True,1,517.0,HASSAN (AMAZON ARUN),KARNATAKA,573201.0
Delivered,True,1,1163.0,MUMBAI,MAHARASHTRA,400081.0
Delivered,True,1,653.0,BHILAI,CHHATTISGARH,490001.0
Delivered,True,1,818.0,AGARTALA,TRIPURA,799004.0
Delivered,True,1,518.0,BENGALURU,KARNATAKA,560070.0
Delivered,True,1,360.0,IMPHAL,MANIPUR,795001.0
Delivered,True,1,1092.0,BENGALURU,KARNATAKA,560068.0
Delivered,True,1,458.0,GURUGRAM,HARYANA,122004.0
Delivered,True,1,368.0,NAGPUR,MAHARASHTRA,441111.0
Delivered,True,1,599.0,PIMPRI CHINCHWAD,MAHARASHTRA,411017.0
Delivered,True,1,474.0,NEW DELHI,DELHI,110027.0
Delivered,True,1,744.0,SATARA,MAHARASHTRA,415001.0
Delivered,True,1,744.0,SATARA,MAHARASHTRA,415001.0
Delivered,True,1,791.0,SATARA,MAHARASHTRA,415001.0
Delivered,True,1,0.0,HYDERABAD,HYDERABAD,500089.0
Delivered,True,1,399.0,PUNE,MAHARASHTRA,411014.0
Delivered,True,1,259.0,PUNE,MAHARASHTRA,411014.0
Delivered,True,1,391.0,PUNE,MAHARASHTRA,411014.0
Delivered,True,1,635.0,BENGALURU,KARNATAKA,560047.0
Delivered,True,1,0.0,JAMMU,JAMMU & KASHMIR,180010.0
Delivered,True,1,692.0,MUMBAI,MAHARASHTRA,400095.0
Delivered,True,1,474.0,LUCKNOW,UTTAR PRADESH,226002.0
